ORIGIN,DEST,PASSENGERS
ABE,ABI,1.0
ABE,ABQ,93.0
ABE,ABY,7.0
ABE,ACV,2.0
ABE,AEX,12.0
ABE,AGS,62.0
ABE,ALB,1.0
ABE,ALS,1.0
ABE,AMA,6.0
ABE,ANC,19.0
ABE,ASE,12.0
ABE,ATL,2047.0
ABE,ATW,46.0
ABE,AUS,284.0
ABE,AVL,50.0
ABE,BDL,2.0
ABE,BFL,4.0
ABE,BGR,6.0
ABE,BHM,133.0
ABE,BIL,8.0
ABE,BIS,1.0
ABE,BMI,6.0
ABE,BNA,1606.0
ABE,BOI,46.0
ABE,BOS,42.0
ABE,BQK,3.0
ABE,BRO,2.0
ABE,BTR,34.0
ABE,BTV,7.0
ABE,BUF,4.0
ABE,BUR,20.0
ABE,BZN,43.0
ABE,CAE,73.0
ABE,CGI,1.0
ABE,CHA,115.0
ABE,CHS,167.0
ABE,CID,46.0
ABE,CLE,21.0
ABE,CLL,1.0
ABE,CLT,1500.0
ABE,CMH,67.0
ABE,COS,35.0
ABE,COU,1.0
ABE,CPR,3.0
ABE,CRP,5.0
ABE,CRW,15.0
ABE,CSG,9.0
ABE,CVG,113.0
ABE,CWA,1.0
ABE,DAB,75.0
ABE,DAL,33.0
ABE,DAY,47.0
ABE,DCA,5.0
ABE,DEN,1515.0
ABE,DFW,356.0
ABE,DHN,9.0
ABE,DLH,9.0
ABE,DRO,2.0
ABE,DSM,120.0
ABE,DTW,26.0
ABE,ECP,152.0
ABE,EGE,9.0
ABE,ELP,60.0
ABE,EUG,4.0
ABE,EVV,36.0
ABE,EWN,19.0
ABE,EWR,1.0
ABE,EYW,64.0
ABE,FAI,3.0
ABE,FAR,24.0
ABE,FAT,15.0
ABE,FAY,19.0
ABE,FCA,8.0
ABE,FLG,2.0
ABE,FLL,1421.0
ABE,FLO,4.0
ABE,FNT,2.0
ABE,FOD,1.0
ABE,FSD,29.0
ABE,FSM,2.0
ABE,FWA,33.0
ABE,GEG,43.0
ABE,GFK,1.0
ABE,GGG,2.0
ABE,GJT,1.0
ABE,GNV,57.0
ABE,GPT,47.0
ABE,GRB,34.0
ABE,GRK,3.0
ABE,GRR,61.0
ABE,GSO,115.0
ABE,GSP,132.0
ABE,GTF,1.0
ABE,GTR,4.0
ABE,GUC,1.0
ABE,HDN,4.0
ABE,HHH,56.0
ABE,HLN,1.0
ABE,HNL,38.0
ABE,HOU,36.0
ABE,HSV,104.0
ABE,HTS,9.0
ABE,HYS,1.0
ABE,IAD,1.0
ABE,IAH,257.0
ABE,ICT,59.0
ABE,IDA,2.0
ABE,ILM,69.0
ABE,IND,166.0
ABE,JAC,20.0
ABE,JAN,52.0
ABE,JAX,216.0
ABE,JNU,5.0
ABE,KOA,3.0
ABE,KTN,1.0
ABE,LAF,2.0
ABE,LAS,223.0
ABE,LAX,285.0
ABE,LBB,8.0
ABE,LCH,2.0
ABE,LEX,78.0
ABE,LFT,24.0
ABE,LGA,1.0
ABE,LGB,1.0
ABE,LIH,3.0
ABE,LIT,126.0
ABE,LNK,5.0
ABE,LRD,1.0
ABE,LSE,1.0
ABE,LWS,1.0
ABE,LYH,3.0
ABE,MAF,18.0
ABE,MBS,14.0
ABE,MCI,250.0
ABE,MCO,1291.0
ABE,MCW,2.0
ABE,MDW,14.0
ABE,MEM,177.0
ABE,MFE,10.0
ABE,MGM,27.0
ABE,MHK,3.0
ABE,MHT,3.0
ABE,MIA,110.0
ABE,MKE,85.0
ABE,MLB,1467.0
ABE,MLI,42.0
ABE,MLU,4.0
ABE,MOB,29.0
ABE,MOT,1.0
ABE,MRY,3.0
ABE,MSL,2.0
ABE,MSN,75.0
ABE,MSO,10.0
ABE,MSP,134.0
ABE,MSY,179.0
ABE,MTJ,5.0
ABE,MYR,2818.0
ABE,OAJ,31.0
ABE,OAK,3.0
ABE,OGG,3.0
ABE,OKC,121.0
ABE,OMA,117.0
ABE,ONT,98.0
ABE,ORD,1325.0
ABE,ORF,14.0
ABE,PAE,1.0
ABE,PAH,2.0
ABE,PBI,221.0
ABE,PDX,100.0
ABE,PGD,3015.0
ABE,PGV,11.0
ABE,PHX,237.0
ABE,PIA,33.0
ABE,PIE,4047.0
ABE,PIH,2.0
ABE,PIR,1.0
ABE,PIT,18.0
ABE,PNS,204.0
ABE,PSC,2.0
ABE,PSP,30.0
ABE,PVD,14.0
ABE,PWM,15.0
ABE,RAP,25.0
ABE,RDM,1.0
ABE,RDU,184.0
ABE,RIC,6.0
ABE,RIW,1.0
ABE,RNO,21.0
ABE,ROA,10.0
ABE,ROW,1.0
ABE,RST,1.0
ABE,RSW,156.0
ABE,SAF,1.0
ABE,SAN,199.0
ABE,SAT,200.0
ABE,SAV,212.0
ABE,SBA,2.0
ABE,SBN,69.0
ABE,SBP,3.0
ABE,SDF,138.0
ABE,SEA,131.0
ABE,SFB,9670.0
ABE,SFO,209.0
ABE,SGF,112.0
ABE,SGU,4.0
ABE,SHD,1.0
ABE,SHR,1.0
ABE,SHV,44.0
ABE,SJC,56.0
ABE,SJU,46.0
ABE,SLC,130.0
ABE,SMF,103.0
ABE,SNA,82.0
ABE,SPS,2.0
ABE,SRQ,1693.0
ABE,STL,159.0
ABE,STT,22.0
ABE,STX,12.0
ABE,SUX,1.0
